ID,Title (EN),Title (JP),Component ID,Component Name,Previous ID,Artist name (EN),Artist name (JP),Description (EN),Description (JP),Contributors (EN),Contributors (JP),Creation Date,Color,Sound,"Run time
(HH:MM:SS)",Collection,Media Type,Media Format,Component Type,Relation,Film Process Type,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms of Governing Use,Housing Annotations,Item Annotations　,Condition Notes,Notes,"Date of Entry
(MM-DD-YYYY))",Cataloger
1,Anapoko,穴ポコ,KN_001,,,NAKAJIMA Ko,中嶋興氏,SU: A kine-calligraphy made out of trash. 1974.05.01. Screened at American Center for a gathering with artists using computer technology. Not published.,SU: ゴミによるキネカリ　ネガ。1974.05.01.アメリカンセンターにて：コンピューターを使う映像作家の集会にて上映（一般には非公開）。,,,,Color,,,Nakajima,Film,16mm,,,,Print /　プリント,,,,,,,,,,,,,,,,,,,,,,,穴ポコ、　中島プロ,リールNo.2、　中嶋興プロ、　担当■■、　PD■田、　TEL6434、　使用日時１０/３０,Color is faded and there's a clear vinegar smell. Multiple splices visible when looking at reel. Housed on projection reel. Needs to be put on core with leader added. Stored in 16mm shipping container,"悪いコンディションにより「フィルム箱」に移動。In the Film Box because of bad condition.
PO: Original print element, per communication with artist. Approx 200 ft. Kodak ECN + 0(edge code).",,
2,Seizoki,製造器,KN_022,,,NAKAJIMA Ko,中嶋興氏,"Seizoki, written-animation, original",精造器　カキメーション　オリジナル,,,,Color,Sound / サウンド,,Nakajima,Film,16mm,,,Positive /　ポジ,Original / オリジナル,,,,,,,,,,,,,,,,,,,,,,,製造器、　カキメーション、　原版、　オリジナル、　オプティカル技術を通す以前、,中島興、　製造器、　1965、,Vinegar smell and possibly faded. Fuji JS stock. Single perf. ,Soundtrack is manually done (hand painted) as well as image. ,,
3,Horizon,水平線,KN_055,,,,,Horizon (first),水平線（初号）,,,,Color,Sound / サウンド,,Nakajima,Film,16mm,,,Positive /　ポジ,Print /　プリント,,,,,,,300ft,,,,,,,,,,,,,,,,日本アニメーション協会、　水平線（初号）、　中島プロ,,Severly faded and vinegar smell. Stored on metal projection reel in 16mm shipping container. ,悪いコンディションにより「フィルム箱」に移動。In the Film Box because of bad condition,,
3,Horizon,水平線,KN_056,,,,,"Horizon, Negative, color, rush",水平線　ネガ現・カラー・ラッシュ取り,,,,Color,Silent / サイレント,,Nakajima,Film,16mm,,,Negative / ネガ,Original / オリジナル,,,,Kodak Safety Film,,,300ft,,,,,,,,,,,,,,,,水平線、　１６mm、　水平線、　２７０、　ネガ現、　カラーラッシュ取り、　フィルム種類　７２４７−２９３−１１、１ロール、　中島プロ、　,,Film has signifcant signs of mold visible and a a vinegar smell. Stored in a rusty 16mm can. ,悪いコンディションにより「フィルム箱」に移動。In the Film Box because of bad condition,,
3,Horizon,水平線,KN_061,,,,,"Horizon Film, 16 ",水平線フィルム｜16巻,,,,Color,,,Nakajima,Film,16mm,,,Negative / ネガ,,,,,,,,,,,,,,,,,,,,,,,,水平線ネガ在中、　１７００cut,水平線,16 100ft rools of 16mm stored in a cardboard box. Some exhibiting signs of mold and a strong vinegar smell throughout. ,悪いコンディションにより「フィルム箱」に移動。In the Film Box because of bad condition,,
3,Horizon,水平線,KN_237,,,,,,,,,,,,,Nakajima,Video,U-Matic,,,,,,,,Sony,,,,NTSC,,,,,,,,,,,,,,,,,"Tape is in good condtion, housing is dirty/dusty",,,
3,Horizon,水平線,KN_238,,,,,,,,,,,,,Nakajima,Video,U-matic,,,,,,,,Teac KCS10,,,20,NTSC,,,,,,,,,,,,,,,,,"Tape shows sign of damage and a stick shed smell. Transport is smooth, though. Dust inside container. ",,,
3,Horizon,水平線,KN_052,,,,,Horizon,水平線,,,,,,,Nakajima,Video,U-matic,,,,,,,,H521,,,20,NTSC,,,,,,,,,,,,,,,水平線,水平線、　（ホライゾーン）　By Kou NAKAjiMA、　スキャニーの中にデブの女をカットバック風に入れたテープ、,"Container has fractures around the hub wheels. Otherwise, tape appears to be in good condition. ",,,
3,Horizon,水平線,KN_053,,,,,Horizon,水平線,,,,,,00:07:30,Nakajima,Video,U-matic,,,,,,,,KCS20,,,20,NTSC,,,,,,,,,,,,,,,水平線、　Horizon、,中島興、　HORIZON、　1982、　７’３０”、　シンセサイザーにカットでライブ入り、,Tape is in good condition. Mild sticky shed smell,,,
3,Horizon,水平線,KN_063,,,,,Horizon,水平線,,,,,,,Nakajima,Video,U-matic,,,,,,,,KCA60 (Victor),,,60,NTSC,,,,,,,,,,,,,,,水平線、　ビクター　テレシネ分、　オリジナル・ビデオ版、,中島先生、　水平線　他、　テレシネ分、　ビクターにて、　TBCを使用、,Tape is in good condition. Possible micro-climate/sticky shed smell ,,,
